Time (s),Voltage (V)
1.647827386856079,5.0
3.0424153804779053,5.0
3.35579252243042,5.0
3.7188522815704346,5.0
4.0628437995910645,5.0
4.449044704437256,5.0
4.7959513664245605,5.0
5.1204140186309814,5.0
5.4701502323150635,5.0
5.792523145675659,5.0
6.118690729141235,5.0
6.441436052322388,5.0
6.767137050628662,5.0
7.095813751220703,5.0
7.394472360610962,5.0
7.731855392456055,5.0
8.076505661010742,-5.0
8.463728666305542,-5.0
8.794933557510376,-5.0
9.131240367889404,-5.0
9.472511053085327,-5.0
9.833427667617798,-5.0
10.225718975067139,-5.0
10.554131269454956,-5.0
10.883554458618164,-5.0
11.24832034111023,-5.0
11.58945083618164,-5.0
11.933795928955078,-5.0
12.268091678619385,-5.0
12.579989433288574,-5.0
12.905785083770752,-5.0
13.410114765167236,-5.0
13.70202898979187,-5.0
14.03445315361023,5.0
14.35085678100586,5.0
14.682286262512207,5.0
15.022626638412476,5.0
15.354647874832153,5.0
15.688889980316162,5.0
16.03307557106018,5.0
16.394041776657104,5.0
16.74153232574463,5.0
17.053478956222534,5.0
17.38736844062805,5.0
17.812154054641724,5.0
18.170623302459717,5.0
18.513681411743164,5.0
18.86331844329834,5.0
19.20142912864685,5.0
19.548352479934692,5.0
19.897661685943604,-5.0
20.250570058822632,-5.0
20.589189291000366,-5.0
20.939562797546387,-5.0
21.299619913101196,-5.0
21.65373182296753,-5.0
22.008686780929565,-5.0
22.361642837524414,-5.0
22.686408519744873,-5.0
22.99845838546753,-5.0
23.36488652229309,-5.0
23.683789014816284,-5.0
24.00183892250061,-5.0
24.3324031829834,-5.0
24.660663604736328,-5.0
24.99493980407715,-5.0
25.439835786819458,-5.0
25.780694484710693,0.0
26.100517749786377,0.6
26.42864680290222,1.2
26.768559217453003,1.8
27.093504428863525,2.4
27.440946102142334,3.0
29.12199091911316,3.6
29.448602199554443,4.2
29.79637598991394,4.8
30.12704372406006,4.6
30.460468769073486,4.0
30.807913780212402,3.4
31.16139054298401,2.8
31.508089542388916,2.2
31.829086542129517,1.6
32.16563820838928,1.0
32.510499477386475,0.4
32.8236780166626,-0.2
33.14411759376526,-0.8
33.441052198410034,-1.4
33.780505895614624,-2.0
34.098209857940674,-2.6
34.43336343765259,-3.2
34.78786754608154,-3.8
35.129132986068726,-4.4
35.46646428108215,-5.0
35.961546659469604,-4.4
36.285699129104614,-3.8
36.62837219238281,-3.2
36.97331142425537,-2.6
37.27042627334595,-2.0
37.61375951766968,-1.4
37.94244861602783,-0.8
38.30609917640686,-0.2
38.65041422843933,0.0
38.99573993682861,0.6
